cumulative_proportion,cumulative_profits,rfm
0.00502579023938632456,3007.8020,451
0.01405237402459992065,10454.9860,452
0.02360798836132786669,20093.8030,453
0.03835471498479037165,26648.5330,352
0.04764581404576114271,36735.2910,454
0.04989419388969713001,37344.2700,441
0.06173125247983071022,40775.4700,351
0.07396508398360005290,46301.3540,552
0.08153683375214918661,54616.2240,455
0.09215050919190583256,54854.2420,413
0.09611823832826345721,56199.6320,442
0.10306176431688930035,57808.9830,551
0.11370850416611559317,63354.5090,423
0.12805845787594233566,63678.4130,414
0.12957942071154609178,63909.3560,431
0.13242295992593572278,64692.6410,432
0.13526649914032535378,65014.7670,421
0.14769871710091257769,73092.1270,553
0.15639465679142970505,78877.9540,353
0.16995106467398492261,86122.4060,424
0.17732442798571617509,89765.1430,443
0.18330908609972225894,90558.9990,341
0.18893003570956222720,91440.8550,422
0.19422034122470572674,96158.8690,355
0.20456950138870519771,101148.1170,433
0.21151302737733104085,106614.3030,354
0.22335008596746462106,113959.6070,554
0.22811136093109377064,114782.4360,322
0.24024599920645417270,120241.5850,434
0.25400079354582727150,127424.5450,425
0.26732575056209496096,134366.4010,435
0.27608781907155138207,138663.5590,444
0.28570956222721862185,144370.0510,555
0.29490146805978045230,149599.9110,445
0.30386192302605475464,152893.0190,333
0.31054093373892342281,153913.5960,342
0.32036106335140854383,157832.8200,334
0.32664330115064144953,158613.3000,332
0.33447956619494775822,161263.6890,323
0.34383679407485782303,165072.9690,325
0.35445046951461446898,169246.3340,335
0.36109641581801349027,171970.5820,344
0.36446898558391747122,172347.3180,321
0.37329718291231318607,175597.5050,324
0.37911651897897103556,177151.2950,343
0.38533262795926464752,179035.2460,345
0.39984790371643962437,179122.3120,415
0.40841158576907816425,181098.1040,544
0.41773574923951858218,182913.4790,543
0.42722523475730723447,184476.0600,533
0.43585504562888506809,186397.7800,545
0.44028567649781774895,186597.6600,331
0.45916545430498611292,187648.5910,524
0.46875413305118370583,189040.5710,534
0.47745007274170083319,189123.7000,314
0.47956619494775823300,189688.7640,154
0.48455892077767491069,190596.8120,253
0.48693955825948948548,190623.8060,513
0.49685888110038354711,192008.2660,535
0.51930961513027377327,193141.7720,525
0.52327734426663139792,193892.3720,254
0.52929506679010712864,194371.2360,152
0.54652162412379314901,194970.5620,523
0.54953048538553101437,195442.8980,255
0.55964819468324295723,195473.8140,312
0.56893929374421372829,195522.7990,313
0.57022880571352995630,195714.5590,155
0.58345456950138870514,196196.3590,252
0.59105938367940748572,196252.4790,522
0.59525856368205263848,196352.9290,542
0.59876339108583520692,196502.9290,153
0.61403914826081206183,196703.1890,251
0.62376008464488824223,196710.1320,311
0.62928184102631926987,196719.2580,151
0.63166247850813384466,196717.2820,541
0.64072212670281708762,196709.4740,315
0.64508662875281047474,196702.3930,521
0.64902129347969845252,196585.3230,244
0.65447692104219018642,196353.1170,123
0.66697526782171670408,196121.0730,131
0.66981880703610633508,195971.9950,224
0.67266234625049596608,195961.0070,514
0.68069699775162015600,195461.9040,133
0.68406956751752413695,195178.5640,245
0.68767358814971564601,195086.9000,532
0.69438566327205396105,194458.9050,134
0.70063483666181721988,194162.7360,122
0.71650575320724771849,193602.5120,142
0.72143235021822510243,192968.1570,125
0.73383150376934267947,192374.5910,132
0.73822907022880571346,192162.1340,222
0.75066128818939293737,190871.5340,143
0.75522417669620420572,190478.0420,243
0.76292818410263192692,189471.0920,135
0.76772252347573072338,188811.9130,124
0.77387250363708504159,188566.4830,121
0.79463695278402327727,188043.0090,141
0.79886919719613807690,187561.3460,234
0.80958206586430366346,185848.2330,144
0.81956751752413701884,184172.0480,145
0.82961909800290966796,183621.2000,232
0.83884406824494114528,183184.1860,242
0.84059648194683242950,183135.2850,531
0.84479566194947758226,182556.2520,235
0.84849887581007803194,182080.1640,223
0.85230128289908742223,181438.3250,225
0.85788916809945774362,180839.1550,233
0.86446898558391747117,180471.2030,221
0.87762862055283692627,179790.2230,241
0.89158180134902790630,178983.3590,231
0.90189789710355773040,178628.9750,112
0.91991800026451527570,178274.5910,212
0.92633249570162676889,177888.5430,214
0.93314376405237402454,177354.0530,215
0.93605343208570294929,176750.0530,115
0.93764052374024599915,176747.0530,412
0.94117841555349821447,176056.0530,114
0.96839042454701759021,175583.0530,211
0.96868800423224441206,175570.0530,511
0.96901864832694088078,175568.0530,411
0.97328395714852532728,175148.0530,113
0.98075651368866552038,174794.0530,213
0.98171538156328527967,174777.0530,512
0.99755323369924613141,174520.0530,111
0.99999999999999999995,174507.0530,515
