cumulative_proportion,cumulative_profits,rfmz
0.00017904461791878536,55.0000,4311
0.00243500680369548091,1314.1260,4511
0.00297214065745183699,1615.1170,4514
0.00401059944138079209,2187.1710,4513
0.00501324930172599011,3245.1230,4525
0.00640979732149251593,4021.0930,4512
0.00680369548091384372,4181.0930,4213
0.00848671488935042612,4287.0870,4132
0.00956098259686313829,4760.1740,5514
0.01364319988541144453,6932.8920,5521
0.01586335314760438301,8528.0720,4523
0.01844159564563489221,10666.4740,4522
0.02066174890782783069,12047.5460,4521
0.02248800401059944138,13418.4860,4524
0.02313256463510706868,13599.5040,4411
0.02674926591706653298,15007.7020,3522
0.03072405643486356800,16589.5220,3511
0.03104633674711738165,16640.5160,4313
0.03226384014896512211,16742.5040,4141
0.03276516507913772112,17099.4620,4425
0.03319487216214280599,17761.3240,4551
0.03491370049416314546,18040.3450,3412
0.03677576452051851322,20416.1890,4543
0.03802907684595001075,21475.4590,4531
0.03953305163646780779,23037.8730,5531
0.04254100121750340186,26296.0230,4535
0.04347203323068108574,26696.9480,4422
0.04558475972212275300,26796.9480,4133
0.04981021270500608753,28220.9420,3521
0.05185132134928024065,30068.0380,4534
0.05410728353505693620,32413.1130,4544
0.05693618849817374491,33658.2780,3524
0.05883406144811286974,35467.2660,4532
0.06245076273007233404,37497.7230,3523
0.06613908185919931248,41260.2930,4545
0.06760724772613335244,43136.0650,4553
0.06868151543364606461,44271.3950,4552
0.06896798682231612119,44345.3950,4415
0.07000644560624507629,44591.4190,3225
0.07093747761942276017,44763.4070,4421
0.07437513428346343911,45917.4550,5522
0.07462579674854973862,46015.4430,4515
0.07573587337964620786,46113.4310,4221
0.07766955525316908976,47999.3830,3533
0.07877963188426555900,48170.3980,3413
0.08132206545871231113,49413.3950,5523
0.08458067750483420471,50167.2030,3512
0.08676502184344338612,51942.1580,4533
0.08952230895939268068,52743.1400,5511
0.08998782496598152262,52840.1310,4412
0.09056076774332163578,53058.1670,4324
0.09134856406216429137,53226.2090,3425
0.09338967270643844449,54377.2960,5524
0.09543078135071259761,56317.2060,4554
0.09825968631382940632,58081.4700,5533
0.09994270572226598872,58939.7220,4433
0.10047983957602234480,59344.7070,3541
0.10169734297787008526,59510.7190,4223
0.10316550884480412522,60148.8390,4231
0.10366683377497672423,60266.8870,4413
0.10688963689751486073,63023.5110,4555
0.10943207047196161286,63729.2830,3513
0.11043472033230681088,64693.0010,3552
0.11100766310964692404,64786.9650,4314
0.11158060588698703720,64880.9290,4325
0.11397980376709876104,65961.5150,4233
0.11698775334813435511,67626.6800,4335
0.12160710449043901743,70228.4810,4245
0.12278879896870300081,71118.4810,5541
0.12368402205829692762,71469.4360,4431
0.12454343622430709735,71656.3670,3224
0.12586836639690610902,71913.4000,4222
0.12901955167227673138,73453.4000,4235
0.12969992122036811575,73919.5860,4541
0.13012962830337320062,74105.5080,4323
0.13231397264198238203,75058.3880,4232
0.13285110649573873811,75197.3370,4414
0.13446250805700780636,75914.0820,4434
0.13625295423619565997,76491.8300,3525
0.13832987180405357016,77922.5450,3534
0.13918928597006373989,78429.5870,3251
0.14198238200959679153,78475.6050,4142
0.14430996204254100123,79810.1270,4234
0.14509775836138365682,79856.1450,3313
0.14968130058010456207,79971.1900,4145
0.15082718613478478838,79994.1990,3142
0.15129270214137363032,80017.2080,5215
0.15208049846021628591,80178.2710,3214
0.15523168373558690827,81739.8110,4244
0.15659242283176967702,81899.8110,3411
0.15745183699777984675,82333.7870,4441
0.15856191362887631599,82538.8620,3223
0.15895581178829764378,82834.8680,3551
0.16020912411372914131,83403.7510,4432
0.16271574876459213637,84609.5110,4333
0.16336030938909976367,85041.5890,4451
0.16497171095036883192,86382.2140,3544
0.16608178758146530116,86859.4210,4341
0.16844517653799326793,88085.9430,4242
0.17080856549452123470,89515.5040,3535
0.17295710090954665904,90694.6990,5542
0.17378070615197307170,90762.7230,4211
