rfm,response_rate,total_cost,expected_responses,expected_revenue,expected_profits,cumulative_responses,cumulative_profits
451,0.3808,154,58.6432,1759.2960,1605.2960,58.6432,1605.2960
452,0.2865,276,79.0740,2372.2200,2096.2200,137.7172,3701.5160
453,0.2150,286,61.4900,1844.7000,1558.7000,199.2072,5260.2160
454,0.2120,280,59.3600,1780.8000,1500.8000,258.5672,6761.0160
352,0.2081,446,92.8126,2784.3780,2338.3780,351.3798,9099.3940
413,0.2045,325,66.4625,1993.8750,1668.8750,417.8423,10768.2690
441,0.1915,68,13.0220,390.6600,322.6600,430.8643,11090.9290
552,0.1896,367,69.5832,2087.4960,1720.4960,500.4475,12811.4250
455,0.1885,228,42.9780,1289.3400,1061.3400,543.4255,13872.7650
351,0.1877,360,67.5720,2027.1600,1667.1600,610.9975,15539.9250
442,0.1733,122,21.1426,634.2780,512.2780,632.1401,16052.2030
423,0.1721,315,54.2115,1626.3450,1311.3450,686.3516,17363.5480
551,0.1674,208,34.8192,1044.5760,836.5760,721.1708,18200.1240
553,0.1618,379,61.3222,1839.6660,1460.6660,782.4930,19660.7900
424,0.1574,411,64.6914,1940.7420,1529.7420,847.1844,21190.5320
443,0.1560,231,36.0360,1081.0800,850.0800,883.2204,22040.6120
432,0.1532,83,12.7156,381.4680,298.4680,895.9360,22339.0800
353,0.1525,263,40.1075,1203.2250,940.2250,936.0435,23279.3050
433,0.1493,315,47.0295,1410.8850,1095.8850,983.0730,24375.1900
554,0.1488,359,53.4192,1602.5760,1243.5760,1036.4922,25618.7660
425,0.1486,411,61.0746,1832.2380,1421.2380,1097.5668,27040.0040
341,0.1484,181,26.8604,805.8120,624.8120,1124.4272,27664.8160
421,0.1477,85,12.5545,376.6350,291.6350,1136.9817,27956.4510
355,0.1475,160,23.6000,708.0000,548.0000,1160.5817,28504.4510
414,0.1458,438,63.8604,1915.8120,1477.8120,1224.4421,29982.2630
422,0.1453,171,24.8463,745.3890,574.3890,1249.2884,30556.6520
434,0.1450,370,53.6500,1609.5000,1239.5000,1302.9384,31796.1520
354,0.1446,210,30.3660,910.9800,700.9800,1333.3044,32497.1320
435,0.1396,404,56.3984,1691.9520,1287.9520,1389.7028,33785.0840
322,0.1368,142,19.4256,582.7680,440.7680,1409.1284,34225.8520
555,0.1367,292,39.9164,1197.4920,905.4920,1449.0448,35131.3440
431,0.1358,47,6.3826,191.4780,144.4780,1455.4274,35275.8220
444,0.1323,265,35.0595,1051.7850,786.7850,1490.4869,36062.6070
445,0.1288,274,35.2912,1058.7360,784.7360,1525.7781,36847.3430
334,0.1147,297,34.0659,1021.9770,724.9770,1559.8440,37572.3200
323,0.1139,236,26.8804,806.4120,570.4120,1586.7244,38142.7320
332,0.1139,190,21.6410,649.2300,459.2300,1608.3654,38601.9620
342,0.1136,202,22.9472,688.4160,486.4160,1631.3126,39088.3780
333,0.1136,271,30.7856,923.5680,652.5680,1662.0982,39740.9460
325,0.1108,283,31.3564,940.6920,657.6920,1693.4546,40398.6380
344,0.1100,201,22.1100,663.3000,462.3000,1715.5646,40860.9380
335,0.1086,320,34.7520,1042.5600,722.5600,1750.3166,41583.4980
324,0.1042,267,27.8214,834.6420,567.6420,1778.1380,42151.1400
321,0.1036,102,10.5672,317.0160,215.0160,1788.7052,42366.1560
343,0.1015,176,17.8640,535.9200,359.9200,1806.5692,42726.0760
514,0.0976,81,7.9056,237.1680,156.1680,1814.4748,42882.2440
